Assemblage_Name	6779302-4-1529671	3460844-8907253-4	3460844-2-4	1-8833337-4	2907576-9932706-4	2-8432134-2	3906234-4-4	4-2-7467183	3460844-2-6652303	2-9266801-703543	4-1571280-1	1-9932706-4	6779302-5210111-4	3-1423135-4	1-851899-4	1-9932706-6362676	1-9932706-2369939	2-4-4259022	5166944-2-4	4-2-4330192	566605-9932706-4	1-5786127-4	6779302-4-5644916	4-8937439-3	2-4-5093656	1-7821445-4	4-760152-3	1-2019397-4	6068412-4-4	4-2-9501159	2-4-2	2-1400741-2	7644183-9932706-4	2-4-703543	6779302-1707425-4	4-2-3	4-2-1	2-9307250-2	6779302-4-918683	5044815-4-703543	6779302-4-3619123	1-4-4	1-9932706-8482261	3-2-6673817	3460844-7163423-4	8994230-2-4	1-1731124-4	7017116-4-4	6779302-4-4	3-2-4	7123588-2-4	899072-2-4	6779302-5372325-4
assemblage-779-935	0	0	146	0	0	0	0	0	0	0	0	72	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	5
assemblage-661-958	0	0	151	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	216	0	26	0	0	0	0	0	0	0	0	0	0	0	0	23	32	0	0	8
assemblage-905-835	0	0	124	0	0	0	0	0	0	0	0	70	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	5
assemblage-243-239	0	0	117	0	0	0	0	42	0	0	0	76	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	80	0	0	5
assemblage-628-437	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	22	0	0	0	0	0	35	32	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	12
assemblage-615-421	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	33	0	0	3	0	0	33	16	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	4
assemblage-844-496	0	0	13	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	14
assemblage-661-956	0	0	48	0	39	0	0	0	0	0	0	42	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	26	0	45	7	0	0	0	0	0	0	0	0	0	0	0	183	67	0	0	6
assemblage-939-810	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	89	0	211	0	0	5	0	0	0	0	0	0	0	0	0	149	0	0	0	3
assemblage-928-765	0	0	67	0	0	18	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	82	0	0	0	0	19	34	14	0	0	0	0	0	0	0	0	0	0	77	52	0	0	8
assemblage-928-796	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	97	0	50	0	0	13	0	0	0	0	0	0	0	0	0	223	0	0	0	3
assemblage-768-990	0	0	24	0	0	0	0	0	0	9	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	85	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	12
