Assemblage_Name	4-0-415513	1-1-2	4-4467719-2069699	3-3-3	4-1-5977635	4-0-7101265	2-0-1291337	4-2-5742587	3751153-0-8013752	4-1-1	4-2-2	2868091-1-1	4-9207109-2069699	4-1742654-2	9548587-0-3	4-2-1704654	1043932-0-3	2-0-78339	4-0-2069699	2-0-3	6668478-2-2	4-9289896-2	4-1-1518850	2897455-7619540-2	2897455-2-2	4-0-1719307	4-2-5351340	4-0-8883218	8419574-0-2069699	6956857-0-2069699	2-1013432-3
assemblage-955-925	0	0	0	0	0	0	0	0	0	15	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-496-654	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	197	0	0	0	0	0	0	0	0	0	0	3
assemblage-978-756	0	29	0	0	0	0	0	0	0	118	31	0	0	0	0	0	0	0	188	133	0	0	0	0	0	0	0	0	0	0	1
assemblage-863-503	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	59	0	0	0	0	0	0	0	0	0	0	4
assemblage-843-802	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	141	109	0	0	0	0	15	156	0	0	0	0	3
assemblage-703-781	0	0	0	0	0	0	0	0	0	17	218	0	0	0	0	0	0	0	108	152	0	0	0	0	0	0	0	0	0	0	5
assemblage-243-235	0	12	34	0	0	0	0	0	0	69	170	0	0	0	0	0	0	0	104	110	0	0	0	0	0	0	0	0	0	0	1
assemblage-824-163	0	0	0	0	0	0	0	0	0	76	187	0	0	0	0	0	0	0	201	30	0	0	0	0	0	0	0	0	0	0	6
assemblage-751-589	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	154	153	0	0	0	0	0	0	0	56	0	0	4
assemblage-503-216	0	0	0	0	0	0	0	0	0	21	240	0	0	0	0	0	0	0	108	124	0	0	0	0	0	0	0	0	0	0	7
assemblage-444-418	0	0	0	108	0	0	0	0	0	262	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-902-784	0	23	0	17	0	0	0	0	0	213	49	0	0	0	0	0	0	0	180	17	0	0	0	0	0	0	0	0	0	0	1
assemblage-564-224	0	0	0	0	0	0	0	0	0	5	100	0	0	0	0	0	0	0	129	103	0	0	0	0	116	39	0	0	0	0	8
assemblage-920-795	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	39	229	60	0	0	0	0	0	0	0	6	0	0	8
assemblage-951-379	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	143	173	0	0	0	0	0	0	0	45	0	0	1
assemblage-775-939	0	9	25	0	0	0	0	0	0	75	151	0	0	0	0	0	0	0	128	105	0	0	0	0	0	0	0	0	0	0	7
assemblage-975-756	0	99	0	0	0	0	0	0	0	90	40	0	0	0	0	0	0	0	159	107	0	0	0	0	0	0	0	0	0	0	5
assemblage-901-928	0	0	0	0	0	0	0	0	0	20	241	0	0	0	0	0	0	0	91	143	0	0	0	0	0	0	0	0	0	0	5
assemblage-692-760	0	0	0	0	0	0	0	0	0	42	79	0	0	81	0	0	0	0	179	106	0	0	0	0	0	0	0	0	0	0	13
assemblage-505-653	0	63	0	28	0	0	0	0	0	75	145	0	0	0	0	0	0	0	115	74	0	0	0	0	0	0	0	0	0	0	0
assemblage-255-237	0	14	31	0	0	0	0	0	0	50	197	0	0	0	0	0	0	0	104	104	0	0	0	0	0	0	0	0	0	0	0
assemblage-564-226	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	112	100	0	0	0	0	125	43	0	6	0	0	2
assemblage-941-790	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	158	119	0	0	0	0	0	0	0	64	0	0	1
assemblage-206-394	0	20	0	0	0	0	0	0	0	131	24	0	0	0	0	0	0	0	194	130	0	0	0	0	0	0	0	0	0	0	1
assemblage-947-379	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	39	253	47	0	0	0	0	12	0	0	0	0	0	19
assemblage-156-102	0	110	0	0	0	0	0	0	0	98	53	0	0	0	0	0	0	0	139	97	0	0	0	0	0	0	0	0	0	0	3
assemblage-885-841	0	0	0	0	0	0	0	0	0	71	200	0	0	0	0	0	0	0	200	25	0	0	0	0	0	0	0	0	0	0	4
assemblage-505-214	0	0	0	0	0	0	0	0	0	33	242	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	55	0	0	1
assemblage-858-122	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	225	59	0	0	0	0	0	0	0	0	0	0	4
assemblage-787-946	0	87	0	0	0	0	0	0	0	7	122	0	0	0	0	0	0	0	253	30	0	0	0	0	0	0	0	0	0	0	1
assemblage-171-84	0	18	0	0	0	0	0	0	0	99	33	0	0	0	0	0	0	0	289	57	0	0	0	0	0	0	0	0	0	0	4
assemblage-908-840	0	0	0	0	0	0	0	0	0	105	46	0	0	0	0	0	0	0	338	7	0	0	0	0	0	0	0	0	0	0	4
assemblage-965-927	0	0	0	0	0	0	0	0	0	21	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-876-927	0	0	0	0	0	0	0	0	0	33	72	0	0	92	0	0	0	0	135	163	0	0	0	0	0	0	0	0	0	0	5
assemblage-199-476	0	55	0	0	0	0	0	0	0	107	39	0	0	0	0	0	0	0	249	41	0	0	0	0	0	0	0	0	0	0	9
assemblage-504-227	0	0	0	0	0	0	0	0	0	85	89	0	0	0	0	0	0	0	275	2	0	0	0	0	0	0	0	0	40	0	9
assemblage-595-776	21	0	0	0	0	0	0	0	0	5	138	0	0	39	0	0	0	0	212	38	0	0	0	0	18	0	0	14	0	5	10
assemblage-939-116	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	171	103	0	0	0	0	18	0	0	11	0	0	9
assemblage-752-302	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	209	92	0	0	0	0	12	0	0	6	0	0	7
assemblage-195-455	0	122	0	0	0	0	0	0	0	179	75	0	0	0	0	0	0	0	91	32	0	0	0	0	0	0	0	0	0	0	1
assemblage-718-296	0	0	0	0	0	0	0	0	0	7	78	0	0	0	6	0	0	0	252	65	0	0	0	10	43	0	0	35	0	0	4
assemblage-607-434	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	47	20	0	0	0	0	130	43	0	0	0	0	5
assemblage-859-809	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	100	74	0	0	0	82	83	15	0	0	0	0	5
