Assemblage_Name	2559871-8952806-1	2-2010276-1	5592634-4-1	2-1890704-1	2-1-5458090	0-9769267-2	3-3179916-821237	5875042-2-226164	3-3179916-0	3-2-226164	7481502-1-1	0-6653765-2	5970712-3179916-0	8180774-2-2	4-4-4	2-1-3285072	0-3-2	0-2-6626474	1358952-4-1	2559871-1-1	3-2-6544721	1256996-2-2	3-5235514-1	2-1-1	3-4-1	9989389-1-1	0-2-2	0-2-138251	3-3179916-9616508
assemblage-936-773	0	0	0	0	0	0	41	86	46	65	0	0	5	0	0	0	0	0	0	0	0	0	0	61	101	0	92	0	3
assemblage-627-775	0	0	0	0	0	9	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	233	0	4
assemblage-602-776	0	0	0	0	0	17	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	236	0	2
assemblage-116-151	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	67	0	0	0	0	0	382	0	0	17	0	0
assemblage-97-795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	186	0	0	296	0	5
assemblage-944-801	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	137	0	7
assemblage-745-591	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	331	0	7
assemblage-541-768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	147	0	4
assemblage-1000-776	0	0	0	0	0	0	0	0	20	44	0	0	0	0	0	0	0	0	0	0	0	0	32	243	20	0	139	0	2
assemblage-956-899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	25	443	0	0	0	2
assemblage-504-675	0	0	0	0	0	0	6	0	423	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	58	0	6
assemblage-983-757	0	0	0	0	0	0	0	0	8	73	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	46	0	10
assemblage-974-919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	19	449	0	0	0	1
assemblage-774-931	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	139	0	3
assemblage-125-165	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	54	0	0	0	0	0	360	0	0	29	0	2
assemblage-497-361	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	342	0	4
assemblage-266-940	0	0	0	0	0	0	0	0	18	8	0	0	71	0	0	12	0	0	0	0	0	0	2	160	49	0	175	0	5
