Assemblage_Name	1707976-6342798-3094946	2-6394348-7921657	2-1532495-5626926	2-0-9402122	2-0-5218743	3-3-3094946	2-3-4	2-0-6729584	3-3-1	3925512-0-6188291	2-5593696-5626926	8513935-2-5400278	2-5378508-8183531	2-0-6188291	5106264-0-5626926	2-0-4573056	2-2-5400278	2-859407-7921657	2-3899803-5400278	2-0-5626926	2999562-0-6188291	2-0-1396244	2-5378508-9890389	2-6004169-5020325	2-4624795-7921657	2-0-3081818	2-7999607-0	2-2675213-0	3-3-9740637	2-0-148134	3-6342798-3094946	1707976-6342798-695894	2-0-918885	464337-0-0	8377462-2-5400278	2-7447752-0	8996415-2233769-0	2-4119526-0	2-0-8183531	2-3-9330332	2-0-658366	2-0-7184064	2-6415551-0	7022313-2-5400278	2-230068-0	2-0-0	2-2141472-0	2-0-1269797	8023962-3-1	2-9643104-5218743	2-4751074-5400278	4222552-2-5400278	2-2042764-0	2-0-3923177	2-0-2073679	9977722-2-5400278	2-2260312-7921657	2-0-2893011	2-0-5020325	5765336-0-0	1347321-2-5400278	2-0-7921657	4328439-859407-7921657	2163453-2-5400278	7459091-2-5400278	3-3-5540310
assemblage-984-775	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	101	0	0	0	31	0	0	0	0	0	15	0	0	0	6
assemblage-896-831	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	45	50	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	155	0	0	48	32
assemblage-866-568	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	67	0	0	0	0	0	0	0	26	0	52	0	0	0	13
assemblage-190-406	0	0	0	0	0	48	0	17	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	0	253	0	0	0	0	0	21	0	0	0	0	5	0	0	0	0	47	0	0	0	28
assemblage-527-780	0	6	0	0	0	0	0	0	0	0	0	0	0	86	0	0	138	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	10
assemblage-936-773	0	0	0	0	0	27	40	6	136	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	177	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	10
assemblage-627-775	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	116	4	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	16	0	0	45	15
assemblage-602-776	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	126	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	14	0	0	48	25
assemblage-116-151	0	0	0	0	74	50	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	64	0	0	58	15
assemblage-97-795	0	0	11	0	57	0	0	0	0	0	0	0	0	0	0	0	110	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	15	0	0	16	0	0	139	0	0	13	25
