Assemblage_Name	3-2798493-1	0-2976261-6646589	1845392-4128558-1	5651714-2-6646589	3926036-4-1	3-3504514-1	8887372-4-1	232828-2-6646589	4-1-3	3-4-2	232828-2-9752263	9241929-4-1	0-2-2664426	903748-4-1	5031883-2-6646589	3-4-5708299	8220698-4-1	1845392-7772521-1	0-4959601-6646589	3-6304307-1	6998389-4-1	2831149-2-6120725	2831149-2-6646589	232828-1730351-6646589	3-4686026-1	3-4-729766	1845392-4-1	0-1158837-6646589	7509597-2-6646589	3-1793174-1	4-1-5924021	1429415-2-6646589	3668392-4-1	3-3588875-1	3-4-9343035	3-4-1746903	0-2-6646589	5118301-4-1	3-3385150-1	3-4-4494914	3-2380901-1	0-9759211-6646589	0-2-4238208	8013079-4-1	232828-2-9090277	7759711-4-1	3005550-4-2	8696718-3-0	3-4-1	4-7513395-3	3-7197503-1	1668801-4-1	8438311-4-1	1845392-9774221-1	0-2656673-6646589	4-8869099-3	3-4-9752149	3-4-7482333	1627572-4-1	9399947-3-0
assemblage-272-157	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	13
assemblage-1005-552	0	0	0	0	0	0	106	0	0	47	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	20	273	0	0	0	0	0	0	0	2	0	7	13
assemblage-755-235	0	0	0	31	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	209	34	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	10
assemblage-1009-796	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	32	0	0	0	0	22	19	0	0	0	31	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	11
assemblage-937-434	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	13	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	5	0	0	0	338	0	0	0	0	0	0	0	0	0	0	15
assemblage-117-516	0	0	0	0	0	0	0	46	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	15
assemblage-524-564	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	2	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	8
assemblage-213-296	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	22	0	21	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	11
assemblage-753-311	0	0	0	0	0	0	0	40	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	14
assemblage-505-307	0	0	0	0	0	0	12	35	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	14	6	0	50	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	5	0	0	0	0	0	7
