Assemblage_Name	0-3240661-5584060	1-1-0	1-1-4	0-7866543-4	2567713-1-1	5914932-4-2	0-3-9290877	3605234-3-0	1621026-3-0	0-3-4862568	0-4-2	0-651861-5136190	7969813-3-0	0-4-4	699068-1-1	0-3-5949628	0-297677-2	8614614-3-0	3164783-7174693-1	0-651861-9480190	3164783-1-7116511	0-651861-9738000	3904170-1-1	3763011-3-0	4670631-651861-2	5384008-4-2	1331120-1-1	1487579-3-0	0-3240661-7541353	3-0-1	0-3-6013753	0-3-7960777	3164783-1-909760	0-3-2465988	3164783-1-4959381	0-3-0	0-3-9476160	0-6413989-2	0-6000027-2	0-651861-6089384	2810884-1-4	1-1787793-4	3164783-1-1	3164783-8578904-1	2827629-651861-2	0-3240661-4	0-3-3237264	0-3-4306539	0-651861-2	0-8340334-0
assemblage-516-770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	160	0	0	0	8	0	0	12
assemblage-770-926	0	0	180	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	131	11	0	0	0	0	0	97	0	0	0	0	0	0	8
assemblage-395-903	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	220	0	0	27	0	0	10	12
assemblage-563-597	0	0	164	0	0	0	0	0	0	0	190	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	27	0	0	0	0	0	12	4
assemblage-816-95	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	45	0	0	63	0	0	127	7
assemblage-471-239	0	0	20	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	175	0	0	52	0	0	96	4
assemblage-262-172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	109	4	0	17	33	0	6	19
assemblage-983-722	8	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	81	10	0	30	16	0	0	0
assemblage-657-321	0	0	72	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	162	0	0	0	0	0	86	11
assemblage-925-224	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	24	0	0	0	52	0	0	0	0	0	39	6
assemblage-945-351	0	0	5	0	0	0	0	0	0	0	274	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	11	0	0	0	0	0	0	0	12
assemblage-271-166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	79	0	0	0	75	0	0	8
assemblage-604-798	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	235	0	0	24	0	0	16	9
assemblage-906-226	0	0	9	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	127	0	14	0	0	0	0	137	0	0	64	0	0	100	5
assemblage-618-855	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	110	18	0	0	3	0	0	3
assemblage-510-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	171	0	0	0	0	0	0	8
assemblage-272-157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	131	0	0	0	0	0	0	13
assemblage-1005-552	0	0	67	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	182	0	0	0	0	0	0	17
assemblage-755-235	0	0	9	8	0	0	0	0	0	0	52	0	0	0	0	25	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	93	0	0	66	0	0	106	1
assemblage-1009-796	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	189	0	0	0	14	0	35	0
assemblage-937-434	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	63	20	0	14	13	0	0	5
