Assemblage_Name	8097818-4-1	4-898925-3459422	4-3-3459422	144824-3-3459422	1-1-2	1119288-7310699-1	1-3839450-1	4-8112617-3459422	2732350-4-1	8870563-3-1384887	8241402-3-1	2-5723064-3	4-3-1571521	0-3-3217020	8870563-3-3459422	2-4925576-1	1-5838883-1	5547616-4-1	2-2-3	2-4-5211081	9402555-3-3459422	8051672-3-1	2-8507577-1	1119288-3-1	8870563-3-4574579	4-3-8908801	8870563-2882071-3459422	8100163-4-1	4-3-4266992	5277107-3-3459422	2-2-9730779	8100163-3942049-1	2-2283747-1	8870563-2328638-3459422	985118-4-1	5277107-3-516127	1-1832478-1	1748348-3-1	1-3-1	2-4-1	4-3-520043	6631180-3-1	4514380-3-3459422	1-3846984-1	8870563-3-1126199	1-3-9285226	1-3-5283330	5128079-3-3459422	2-3761444-1	1-3-663562	4-3-6708120	4908361-3-1	926513-4-1	2869869-3-3459422	1-3-3492214
assemblage-755-235	0	0	167	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	110	0	0	0	0	0	28	0	0	0	0	0	0	0	0	3
assemblage-1009-796	0	0	104	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	161	25	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1
assemblage-937-434	0	0	48	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	6	0	0	0	0	0	18	0	28	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	5	0	0	0	36	0	17
assemblage-117-516	0	0	68	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	233	56	0	0	0	0	0	19	0	0	0	0	0	0	0	0	3
assemblage-524-564	0	0	17	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-213-296	0	0	81	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	166	0	0	0	0	20	0	0	0	15	0	0	0	0	0	5
assemblage-753-311	0	0	48	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	209	85	0	0	0	0	0	17	0	0	0	0	0	0	0	0	7
assemblage-505-307	0	0	112	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	24	0	0	0	0	0	12	0	0	0	0	0	0	0	0	4
assemblage-205-814	0	0	99	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	75	0	7	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8
assemblage-371-826	0	0	53	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-533-582	0	0	77	4	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	144	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
assemblage-808-943	0	81	61	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-596-807	0	0	64	0	0	0	0	0	0	0	11	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	18	0	16	0	0	0	0	0	0	0	0	177	32	0	0	0	0	0	0	0	0	46	0	0	0	0	0	11
assemblage-540-587	0	0	23	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-447-857	0	0	144	0	0	0	0	0	0	0	0	3	0	7	27	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	10	197	0	0	0	0	0	0	0	0	0	11	10	0	0	0	15
assemblage-736-358	0	28	18	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-958-360	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	21
assemblage-454-843	0	0	107	0	0	0	0	0	0	0	0	22	0	0	0	0	0	10	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	11	0	0	0	0	0	0	0	0	17	9	0	0	0	16
assemblage-402-993	0	0	148	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	123	0	0	0	0	0	30	0	0	0	0	0	0	0	0	2
assemblage-866-859	0	22	167	0	0	0	0	9	0	0	0	0	0	0	55	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-985-738	0	0	43	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	31	0	53	0	5	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	16
assemblage-801-92	0	0	15	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-771-316	0	0	73	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	198	74	0	0	0	0	0	16	0	0	0	0	0	0	0	0	6
assemblage-977-744	0	0	14	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	30	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	13	0	0	0	32	0	8
assemblage-368-829	0	0	98	0	0	0	0	0	0	0	0	0	4	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-278-161	0	0	94	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	18	0	2	0	0	0	0	0	0	0	24	230	0	0	0	0	0	0	0	0	0	33	0	0	0	43	0	4
assemblage-516-571	0	0	54	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-766-303	0	0	85	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	26	0	0	0	0	0	9	0	0	0	0	0	0	0	0	7
assemblage-403-900	0	0	35	0	0	0	0	0	0	0	36	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	229	12	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3
assemblage-768-310	0	0	69	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	225	53	0	0	0	0	0	10	0	0	0	0	0	0	0	0	5
assemblage-112-482	0	0	38	0	0	0	0	0	0	0	0	0	0	67	38	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-630-843	0	0	56	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	18	0	51	0	0	0	0	0	0	0	0	251	0	0	5	0	0	0	0	0	0	0	0	0	0	40	0	13
assemblage-145-505	0	0	109	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	22	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3
