Assemblage_Name	1-1-1	1-0-0	3-8648691-3	3-3-6345254	2455755-1-2	4-1-2	0-1-0	1-1-2050263	0-4-4	2-7609570-3	1-1-1704371	4-1-2256315	3763183-1-2	2-2-0	9167433-3-3	990696-0-0	4-1-623510	2020126-0-0	4-1-3686080	3-3-4368035	2-4-3	3-9753152-3	0-6906076-0	3-0-4	8029965-1-2	2655142-2-0	2-0-0	1-2-4	3-3667-3	0-5095285-0	3-3-3	1-0-8737485	2240619-3-3	3-3-73085	1274646-0-0
assemblage-525-433	49	101	0	0	0	27	0	0	11	0	0	0	0	26	0	0	0	35	0	0	0	0	0	23	0	42	10	37	0	3	110	16	0	0	10
assemblage-437-342	19	9	0	0	12	126	0	0	0	0	0	0	0	0	0	12	0	0	0	0	58	17	0	0	0	0	0	0	13	0	221	0	0	0	13
assemblage-337-459	34	70	0	0	0	61	0	0	0	0	0	0	0	0	0	40	0	26	0	9	23	0	0	0	0	63	0	0	0	36	125	0	0	0	13
assemblage-639-638	0	0	0	0	0	73	0	0	0	0	0	0	14	0	0	11	0	0	0	0	64	55	0	0	0	0	0	0	0	0	263	0	0	14	6
assemblage-470-468	24	110	0	0	0	66	0	9	0	0	0	0	0	0	0	51	0	35	0	4	4	0	0	0	0	44	0	0	4	28	108	0	0	0	13
assemblage-255-510	28	64	0	0	0	72	0	8	0	0	0	0	0	0	0	9	0	6	0	0	58	0	0	0	0	30	0	0	12	16	191	0	0	0	6
assemblage-530-477	29	119	0	0	0	32	0	0	3	0	0	0	0	11	0	0	0	31	0	0	16	0	0	0	0	68	25	12	0	31	94	16	0	0	13
assemblage-465-469	53	113	0	0	0	22	0	0	23	0	0	0	0	27	0	0	0	36	0	0	5	0	0	27	0	37	17	26	0	6	94	10	0	0	4
assemblage-465-544	0	0	0	0	0	63	0	0	0	0	0	0	4	0	0	3	0	0	0	0	80	47	0	0	0	0	0	0	0	0	279	0	0	21	3
assemblage-504-537	30	124	0	0	0	29	0	0	13	0	0	0	0	11	0	13	0	26	0	0	12	0	0	0	0	56	7	13	0	26	96	32	0	0	12
assemblage-429-313	0	0	0	0	0	45	0	0	0	0	0	0	4	0	0	0	0	0	0	0	72	65	0	0	0	0	0	0	0	0	254	0	0	42	18
assemblage-390-657	33	113	0	0	0	61	0	8	0	0	0	0	0	0	0	55	0	24	0	5	20	0	0	0	0	47	0	4	10	17	100	0	0	0	3
assemblage-576-508	21	68	0	0	0	91	0	8	0	0	0	0	0	0	0	3	0	10	0	0	28	0	0	0	0	35	0	0	18	26	183	0	0	0	9
assemblage-435-567	20	18	0	0	12	143	0	0	0	0	0	0	0	0	0	10	0	0	0	0	43	18	0	0	0	0	0	0	12	0	209	0	0	0	15
assemblage-586-500	20	71	0	0	0	71	0	6	0	0	0	0	0	0	0	6	0	11	0	0	35	0	0	0	0	29	0	0	20	28	195	0	0	0	8
assemblage-435-407	23	89	0	0	0	45	0	0	0	0	0	0	0	0	0	26	0	28	0	0	10	0	0	0	0	82	10	18	0	52	103	11	0	0	3
assemblage-513-505	46	106	0	0	0	24	0	0	15	0	0	0	0	23	0	0	0	38	0	0	6	0	0	22	0	40	8	45	0	7	103	11	0	0	6
assemblage-662-471	0	0	0	0	0	44	0	0	0	0	0	0	7	0	0	16	0	0	0	0	55	51	0	0	0	0	0	0	0	0	287	0	0	34	6
assemblage-607-312	24	19	0	0	16	105	0	0	0	0	0	0	0	0	0	7	0	0	0	0	32	21	0	0	0	15	0	0	44	30	176	0	0	0	11
assemblage-494-373	21	76	0	0	0	64	0	16	0	0	0	0	0	0	0	17	0	14	0	0	27	7	0	0	0	27	0	0	14	18	195	0	0	0	4
assemblage-491-463	42	108	0	0	0	10	5	0	29	0	0	0	0	22	0	0	0	41	0	0	12	0	0	8	0	48	21	33	0	11	91	18	0	0	1
assemblage-489-624	19	5	0	0	9	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	20	0	0	0	0	0	0	4	0	231	0	0	0	21
assemblage-444-552	0	0	0	0	0	121	0	0	0	0	0	0	6	0	0	9	0	0	0	0	56	13	0	0	0	0	0	0	0	0	269	0	0	13	13
assemblage-684-458	0	0	0	0	0	65	0	0	0	0	0	0	8	0	0	17	0	0	0	0	78	54	0	0	0	0	0	0	0	0	253	0	0	21	4
assemblage-653-581	41	77	0	0	0	70	0	5	0	0	0	0	0	0	0	48	0	34	0	3	23	0	0	0	0	37	0	0	8	26	119	0	0	0	9
assemblage-593-417	0	0	0	0	0	76	0	0	0	0	0	0	11	0	0	10	0	0	0	0	50	63	0	0	0	0	0	0	0	0	271	0	0	16	3
assemblage-561-413	18	16	0	0	17	100	0	0	0	0	0	0	0	0	0	4	11	0	0	0	41	24	0	0	0	10	0	0	46	29	177	0	0	0	7
assemblage-557-369	0	0	0	0	0	41	0	0	0	0	0	0	9	0	10	10	0	0	0	0	73	97	0	0	0	0	0	0	0	0	219	0	0	38	3
assemblage-522-513	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	21	0	0	0	0	59	43	0	0	0	0	0	0	0	0	280	0	0	12	14
assemblage-615-413	25	59	0	0	0	76	0	13	0	0	0	0	0	0	0	15	0	3	0	0	36	0	0	0	0	35	0	0	10	27	195	0	0	0	6
assemblage-498-583	22	61	0	0	0	77	0	12	0	0	0	0	0	0	0	8	0	12	0	0	36	0	0	0	0	25	0	0	18	31	185	0	0	0	13
assemblage-588-576	28	62	0	0	0	72	0	12	0	0	0	0	0	0	0	8	0	6	0	0	37	1	0	0	0	44	0	0	11	42	172	0	0	0	5
assemblage-353-362	33	110	0	0	0	34	3	0	14	0	0	0	0	21	0	0	0	26	0	0	6	0	0	16	0	48	17	39	0	0	105	25	0	0	3
assemblage-532-742	14	16	0	0	16	145	0	0	0	0	0	0	0	0	0	10	0	0	0	0	54	9	0	0	0	7	0	0	4	0	208	0	0	0	17
assemblage-534-591	13	13	0	0	13	110	0	0	0	0	0	0	0	0	0	9	0	0	0	0	38	16	0	0	0	7	0	0	9	0	261	0	0	0	11
assemblage-333-495	20	103	0	0	0	32	0	0	0	0	0	0	0	0	0	18	0	40	0	0	8	0	0	0	0	70	17	13	0	49	111	11	0	0	8
assemblage-550-679	36	90	0	0	0	52	0	8	0	0	0	0	0	0	0	50	0	27	0	13	25	0	0	0	0	46	0	9	5	21	110	0	0	0	8
assemblage-511-353	19	37	0	0	13	104	0	0	0	0	0	0	0	0	0	6	0	0	0	0	46	16	0	0	0	11	0	0	41	21	169	0	0	0	17
assemblage-540-375	44	113	0	0	0	18	0	0	16	0	0	0	0	29	0	0	0	36	0	0	8	0	0	12	0	39	8	34	0	4	109	24	0	0	6
assemblage-542-538	26	132	0	0	0	39	0	0	5	0	0	0	0	9	0	4	0	31	0	0	8	0	0	0	0	66	19	23	0	31	78	22	0	0	7
assemblage-510-526	0	4	0	0	0	113	0	0	0	0	0	0	0	0	0	20	0	0	0	0	40	29	0	0	0	0	0	0	0	0	274	0	0	13	7
assemblage-461-558	24	83	0	0	0	30	0	0	0	0	0	0	0	0	0	32	0	42	0	0	4	0	0	0	0	78	7	13	0	58	119	7	0	0	3
assemblage-230-538	4	0	0	0	0	117	0	0	0	0	0	0	0	0	0	4	0	0	0	0	49	27	0	0	0	0	0	0	0	0	257	0	0	20	22
assemblage-634-469	30	82	0	0	0	49	0	0	0	0	0	0	0	0	0	65	0	25	0	13	17	0	0	0	0	38	0	0	5	49	104	0	0	0	23
assemblage-464-478	27	90	0	0	0	65	0	0	0	0	0	0	0	0	0	52	0	35	0	6	20	0	0	0	0	35	0	0	9	28	119	0	0	0	14
assemblage-604-694	20	92	0	0	0	63	0	13	0	0	0	0	0	0	0	14	0	6	0	0	51	0	0	0	0	24	0	0	9	21	185	0	0	0	2
assemblage-575-668	29	133	0	0	0	33	0	0	7	0	0	0	0	9	0	14	0	32	0	0	7	0	0	0	0	63	12	18	0	23	97	18	0	0	5
assemblage-513-609	17	109	0	0	0	44	0	0	0	0	0	0	0	0	0	41	0	34	0	0	7	0	0	0	0	61	5	16	0	53	100	6	0	0	7
assemblage-509-331	15	43	0	0	20	116	0	0	0	0	0	0	0	0	0	9	9	0	0	0	46	26	0	0	0	16	0	0	20	15	159	0	0	0	6
assemblage-573-436	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	15	0	0	0	0	72	27	0	0	0	0	0	0	0	0	255	0	0	11	22
assemblage-535-556	51	121	0	0	0	24	0	0	14	0	0	0	0	18	0	0	0	29	0	0	6	0	0	14	0	49	10	28	0	8	103	18	0	0	7
assemblage-687-637	17	49	0	0	12	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	15	0	0	0	13	0	0	25	23	176	0	0	0	16
assemblage-393-549	45	111	0	0	0	22	0	0	21	0	0	0	0	25	0	0	0	39	0	0	16	0	0	11	0	42	8	39	0	0	103	8	0	0	10
assemblage-433-681	22	122	0	0	0	26	5	0	27	0	0	0	0	25	0	0	0	31	0	0	5	0	0	16	0	45	11	36	0	0	95	27	0	0	7
assemblage-561-368	33	118	0	0	0	28	5	0	4	0	0	0	0	5	0	3	0	34	0	0	12	0	0	9	0	57	25	21	0	35	81	28	0	0	2
assemblage-518-554	0	0	0	0	0	64	0	0	0	0	0	0	7	0	0	10	0	0	0	0	61	52	0	0	0	0	0	0	0	0	273	0	0	26	7
assemblage-467-392	21	24	0	0	7	109	0	0	0	0	0	0	0	0	0	7	0	0	0	0	40	19	0	0	0	6	0	0	31	21	206	0	0	0	9
assemblage-485-380	18	87	0	0	0	62	0	9	0	0	0	0	0	0	0	8	0	10	0	0	32	0	0	0	0	22	0	0	20	21	198	0	0	0	13
assemblage-487-465	14	105	0	0	0	29	0	0	0	0	0	0	0	0	0	22	0	38	0	0	20	0	0	0	0	94	11	16	0	44	92	7	0	0	8
assemblage-485-386	22	110	0	0	0	30	0	0	3	0	0	0	0	5	0	11	0	20	0	0	10	0	0	0	0	55	22	18	0	30	121	32	0	0	11
assemblage-509-612	50	100	0	0	0	16	0	0	24	0	0	0	0	23	0	0	0	32	0	0	6	0	0	15	0	40	16	33	0	3	108	32	0	0	2
assemblage-531-470	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	5	0	0	0	0	70	105	0	0	0	0	0	0	0	0	223	0	0	27	15
