Assemblage_Name	4596881-0-4	1-4924957-1	4-1290232-2	509099-3-1	4-2101814-766161	1-9555004-1	6668741-1-1177726	1-3-5512019	1-1-0	8810171-8256763-1	3760522-3-1	2534221-3-1	1-8503026-319557	1-8503026-1	8947720-1-3	0-1-3	1-1845331-1	1-2490561-0	9027260-8503026-1	9502432-1-0	4138262-2-5884207	2-0-4	3641890-0-4	9834634-3-1	2-5841824-4	1-4-7519972	3062961-1-766161	4-2-5884207	4-4444700-766161	9324909-1-766161	1-9840125-0	4271432-1-2	1-3-5825611	8810171-3-1	1-3-3641738	1-3-1	4-2-2241329	4-2-4	1340599-1-766161	4-1-4815224	4-5874336-766161	3088406-183624-4	4-1-4	4-1-2	4-1-766161	4-3388538-2	4-1616939-2	1883075-1-2	3088406-0-4	5582050-1-2	1-8503026-6795671	3446547-9555004-1
assemblage-631-625	0	0	0	0	0	0	0	0	40	0	7	0	0	37	0	0	0	0	0	0	0	8	0	0	0	0	0	68	0	0	0	0	0	0	0	220	3	0	0	0	0	0	0	60	32	0	0	0	0	0	0	25
assemblage-483-389	0	0	0	0	0	0	18	0	3	0	7	0	0	26	0	0	0	0	0	0	0	0	5	0	0	0	0	32	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	72	71	0	8	0	0	0	0	35
assemblage-376-551	0	0	0	0	0	0	12	0	61	0	0	0	0	17	0	0	0	0	0	0	0	18	0	0	0	3	0	67	0	0	0	0	0	0	0	124	43	0	0	0	0	0	0	70	44	0	0	0	18	0	0	23
assemblage-364-569	0	0	0	0	0	0	27	0	38	0	0	0	0	10	0	17	0	0	0	0	0	34	0	0	0	34	0	18	0	0	0	0	0	0	0	142	23	0	0	9	0	0	7	63	58	0	0	0	6	0	0	14
assemblage-438-372	0	0	0	0	0	10	6	0	30	11	0	0	15	49	0	0	0	0	0	0	0	0	40	0	0	0	0	15	0	0	0	7	0	9	0	175	0	0	0	0	5	0	0	90	6	0	0	0	0	0	12	20
assemblage-474-577	0	0	0	0	0	0	11	0	74	0	0	0	0	19	0	10	0	0	0	0	0	13	0	0	0	5	0	45	0	0	0	0	0	0	0	138	27	0	0	0	0	0	0	67	48	0	0	0	20	0	0	23
assemblage-313-642	0	0	0	0	0	0	0	0	67	0	0	0	0	0	17	32	0	0	0	7	0	45	0	0	0	12	0	42	0	0	0	0	0	0	5	94	11	37	0	16	0	0	33	33	22	0	0	0	0	0	0	27
assemblage-445-389	0	0	0	0	0	0	7	0	33	0	0	0	0	42	0	0	0	0	0	0	0	0	31	0	0	0	0	19	0	0	0	0	0	12	0	193	0	0	0	0	0	0	0	77	37	0	10	0	0	6	0	33
assemblage-610-367	0	0	0	0	0	0	18	0	9	0	8	0	0	41	0	0	0	0	0	0	0	0	9	0	0	0	0	45	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	59	57	0	10	0	0	0	0	23
assemblage-635-521	0	0	0	0	9	0	10	0	24	0	8	0	0	53	0	0	0	0	0	0	0	0	9	0	0	0	0	53	0	0	0	0	0	0	0	200	9	0	0	0	0	0	0	53	46	0	0	0	0	0	0	26
assemblage-454-506	0	0	0	0	0	0	14	0	9	0	8	0	0	30	0	0	0	0	0	0	0	0	15	0	0	0	0	37	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	65	56	0	10	0	0	0	0	28
assemblage-617-450	0	0	0	0	0	0	0	0	45	0	9	0	0	28	0	0	8	0	0	0	0	0	7	0	2	0	0	61	0	0	0	0	0	0	0	183	18	0	0	0	0	0	0	67	54	0	0	0	0	0	0	18
assemblage-508-652	0	0	0	0	0	0	26	0	66	0	0	0	0	13	0	11	0	0	0	0	0	30	0	0	0	27	0	32	0	0	0	0	0	0	0	124	25	0	0	5	0	0	9	58	60	0	0	0	4	0	0	10
assemblage-510-424	0	0	0	0	0	0	13	0	83	0	0	0	0	11	0	4	0	0	0	0	0	13	0	0	0	7	0	57	0	0	0	0	0	0	0	130	24	0	0	0	0	0	0	72	45	0	0	0	22	0	0	19
assemblage-700-366	0	0	0	0	0	0	9	0	29	11	0	0	23	60	0	0	0	0	0	0	0	0	32	0	0	0	0	23	0	0	0	16	0	9	0	131	0	0	0	0	11	0	0	105	10	0	0	0	0	0	14	17
assemblage-391-442	0	0	0	0	0	0	13	0	91	0	0	7	0	0	0	26	0	0	0	0	0	54	0	0	0	13	0	28	0	0	11	0	0	0	0	114	27	0	0	11	0	0	25	20	41	0	0	0	0	0	0	19
assemblage-537-564	0	0	0	0	0	0	16	0	60	0	0	0	0	21	0	0	0	0	0	0	0	14	0	0	0	8	0	62	0	0	0	0	0	0	0	130	34	0	0	0	0	0	0	74	47	0	0	0	14	0	0	20
assemblage-472-392	0	0	0	0	0	0	0	0	85	0	0	0	0	0	12	37	0	0	0	8	0	40	0	0	0	8	0	38	0	0	6	0	0	0	11	87	11	29	0	15	0	0	25	37	28	0	0	5	0	0	0	18
assemblage-446-389	0	0	0	0	0	0	19	0	49	0	0	0	0	12	0	17	0	0	0	0	0	44	0	0	0	29	0	26	0	0	0	0	0	0	0	101	23	0	0	11	0	0	6	72	64	0	0	0	11	0	0	16
assemblage-486-541	11	0	0	0	0	0	0	0	75	0	0	0	0	0	13	41	0	0	0	11	0	60	0	0	0	12	0	43	0	0	0	0	0	0	5	76	12	16	0	7	0	0	37	32	26	0	0	0	0	0	0	23
assemblage-613-581	0	0	0	0	0	0	5	0	35	0	5	0	0	40	0	0	11	0	0	0	0	0	14	10	0	0	0	53	0	0	0	0	0	0	0	196	20	0	0	0	0	0	0	50	43	0	0	0	0	0	0	18
assemblage-503-562	0	0	0	0	0	0	4	0	33	0	0	0	0	70	0	0	0	0	0	0	0	0	23	0	0	0	0	15	0	0	0	0	0	9	0	185	0	0	0	0	0	0	0	83	43	0	12	0	0	4	0	19
assemblage-396-594	0	0	0	0	0	0	19	0	84	0	0	9	0	0	0	30	0	0	0	0	0	52	0	0	0	9	0	43	0	0	7	0	0	0	0	99	22	0	0	9	0	0	22	28	53	0	0	0	0	0	0	14
assemblage-345-414	0	0	0	0	0	0	0	0	69	0	0	0	0	0	3	35	0	0	0	11	0	51	0	0	0	11	0	41	0	0	0	0	0	0	6	91	11	17	0	18	0	0	36	31	30	0	0	0	0	0	0	39
assemblage-365-367	0	0	0	0	0	0	6	0	72	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	184	25	0	0	0	0	0	0	62	33	0	0	0	14	0	0	29
assemblage-553-459	0	0	0	0	0	5	7	0	35	9	0	0	23	51	0	0	0	0	0	0	0	0	42	0	0	0	0	25	0	0	0	6	0	10	0	140	0	0	0	0	14	0	0	104	4	0	0	0	0	0	8	17
assemblage-471-212	0	0	0	0	0	0	23	0	54	0	0	0	0	23	0	17	0	0	0	0	0	43	0	0	0	25	0	19	0	0	0	0	0	0	0	120	25	0	0	10	0	0	19	57	49	0	0	0	6	0	0	10
assemblage-505-378	0	0	0	0	0	0	3	0	32	0	11	0	0	45	0	0	3	0	0	0	0	0	18	12	0	0	0	54	0	0	0	0	0	0	0	202	6	0	0	0	0	0	0	46	44	0	0	0	0	0	0	24
assemblage-589-392	0	0	0	0	0	0	10	0	11	0	0	0	0	29	0	0	0	0	0	0	0	0	10	0	0	0	0	42	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	75	56	0	19	0	0	0	0	22
assemblage-648-407	0	0	0	0	0	0	32	0	40	0	0	0	0	18	0	17	0	0	0	0	0	31	0	0	0	24	0	31	0	0	0	0	0	0	0	106	25	0	0	5	0	0	12	75	62	0	0	0	11	0	0	11
assemblage-626-554	0	0	0	0	0	0	23	0	95	0	0	10	0	0	0	21	0	0	0	0	0	53	0	0	0	18	0	28	0	0	4	0	0	0	0	99	26	0	0	8	0	0	26	43	26	0	0	0	0	0	0	20
assemblage-531-387	0	0	0	0	0	0	3	0	35	10	0	0	21	55	0	0	0	0	0	0	0	0	40	0	0	0	0	18	0	0	0	11	0	9	0	136	0	0	0	0	12	0	0	98	13	0	0	0	0	0	13	26
assemblage-383-552	0	0	0	0	0	4	8	0	23	11	0	0	15	48	0	0	0	0	0	0	0	0	38	0	0	0	0	32	0	0	0	11	0	12	0	151	0	0	0	0	21	0	0	91	8	0	0	0	0	0	6	21
assemblage-525-530	0	0	0	0	0	0	15	0	72	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	190	18	0	0	0	0	0	0	57	23	0	0	0	10	0	0	19
assemblage-543-450	0	0	0	0	0	0	11	0	76	0	0	0	0	25	0	10	0	0	0	0	0	13	0	0	0	7	0	58	0	0	0	0	0	0	0	123	30	0	0	0	0	0	0	67	45	0	0	0	21	0	0	14
