Assemblage_Name	4-507655-4	186898-3-0	4-8193804-4	7396649-1253451-0	7396649-2-0	4-6785422-1	7093981-4-0	2-7375302-0	1-4-9241391	7396649-8012974-0	3-2-1	1-1-4	8639112-2-0	2-1-0	2-4-8057440	0-4-2	2-1-7534045	0-1-4	2-4-3822983	2-2743871-2	2-7446405-0	4-667909-4	3563941-1-0	4-4-1	2-3-0	1-4-9644792	4-3251686-4	4-2-6272228	2-2-2	4-2-9509169	6503858-6969799-9241391	0-487118-2	1-6969799-9241391	3422684-1-4	4-2-4	182705-2-4	4149826-3-0	7303375-4-0	4-8580564-4	2-4-746408	7388167-2-4	1-4-67538	2-1338273-0	735356-487118-2	8477710-487118-2	2-4-0	2-1-6332620	4495011-1-6332620	0-2150317-2	2-1218603-0	2-3-4338993	5024116-4-0	2-2-9642672
assemblage-535-477	0	0	0	0	11	0	7	31	6	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	55	0	0	0	0	19	28
assemblage-579-537	0	0	0	0	17	0	0	0	42	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	78	0	0	0	13	9	0	29	0	0	147	0	0	0	0	0	0	0	0	0	0	66	5	0	0	0	0	0	22
assemblage-419-619	0	0	0	0	10	0	0	0	76	0	20	0	0	42	0	0	0	13	0	0	0	0	0	0	105	0	0	0	12	0	0	35	14	0	70	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	23
assemblage-664-814	4	0	0	0	0	0	0	0	11	0	0	0	0	83	0	0	0	0	0	9	5	0	0	0	166	0	0	0	0	8	0	0	0	0	56	0	0	0	0	0	32	0	0	0	0	75	23	0	0	0	0	0	28
assemblage-549-707	0	0	0	0	72	0	0	0	70	0	29	14	5	34	15	6	0	6	0	0	0	6	0	13	50	0	0	0	56	0	0	29	2	0	34	0	0	0	0	0	0	0	0	0	0	29	0	0	16	0	0	0	14
assemblage-630-432	0	0	0	0	0	0	0	0	43	0	4	0	0	59	0	0	0	10	0	0	0	9	0	0	85	0	0	0	12	0	7	47	17	0	110	0	0	0	0	11	0	0	0	0	0	66	0	0	0	0	0	0	20
assemblage-454-418	0	0	0	0	10	0	0	0	78	0	3	0	0	49	0	0	0	12	0	0	0	0	0	0	134	0	0	0	18	0	0	20	9	0	84	0	0	0	0	0	0	0	0	0	11	56	0	0	0	0	0	0	16
assemblage-463-453	0	0	0	0	8	0	0	0	21	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	13	0	23	0	0	122	0	0	0	0	0	19	0	0	0	0	35	15	0	0	0	0	0	22
assemblage-722-650	10	0	0	0	0	0	0	0	11	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	114	0	0	0	13	9	0	18	0	0	161	0	0	0	0	0	17	0	0	0	0	35	4	0	0	0	0	0	21
assemblage-657-503	0	0	0	0	9	0	17	42	12	7	0	0	0	109	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	91	35	0	0	0	0	7	19
assemblage-569-331	0	0	0	0	5	0	0	0	78	0	2	0	0	55	0	0	0	5	0	0	0	8	0	0	118	0	0	0	12	0	0	30	13	0	100	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	20
assemblage-580-466	0	0	0	0	11	0	0	0	48	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	101	0	0	0	5	10	0	42	0	0	125	0	0	0	0	0	0	0	4	0	0	65	0	0	0	0	0	0	27
assemblage-344-439	6	0	0	0	5	0	0	0	18	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	165	0	0	0	6	8	0	8	0	0	116	0	0	0	0	0	14	0	0	0	0	45	3	0	0	10	0	0	14
