Assemblage_Name	8501377-4-4	1-0-0	4-6666364-2	0-4-2	1083166-2-3	6353971-0-2	2-4-7711776	4-3557695-2	4-0-2	3-1-2	9288241-0-2	2-4-7810713	7800318-3-2	5496186-4-3	2-8378216-3	2-4-3	4-0-6895366	4-2-1	7451169-0-2	4-0-6634758	3-4253551-3	1-2-4	8944643-4-3	4-0-945479	3-4-3	4-3-2	3-2-3	4065368-4-3	9475619-0-2	6783646-3-2
assemblage-479-543	0	15	0	9	0	0	0	0	147	12	0	0	0	0	0	144	0	30	0	0	0	0	0	0	38	13	88	0	0	4
assemblage-444-611	0	11	0	0	3	0	0	0	199	54	0	0	0	0	0	25	0	0	0	0	0	0	75	0	0	65	61	0	0	7
assemblage-562-454	0	0	0	0	0	29	0	19	173	82	0	0	0	0	0	12	0	0	0	0	0	0	86	0	0	95	0	0	0	4
assemblage-389-481	0	0	0	0	0	0	0	0	171	50	0	0	0	0	0	20	0	0	0	0	0	0	84	0	0	113	55	0	0	7
assemblage-531-500	0	0	0	0	0	0	0	0	177	67	0	0	0	0	0	28	0	0	0	0	0	0	79	0	0	94	49	0	0	6
assemblage-433-512	0	18	0	0	0	0	0	0	231	21	0	0	0	0	0	68	0	14	0	0	0	0	0	0	0	53	87	0	0	8
assemblage-348-558	0	0	0	0	0	0	0	0	161	81	0	0	0	0	0	28	0	0	0	0	0	0	63	0	0	75	80	0	0	12
assemblage-495-537	0	0	0	0	0	26	0	14	137	99	0	0	0	0	0	9	0	0	0	0	0	0	111	0	0	89	12	0	0	3
assemblage-395-626	0	27	0	0	0	0	0	0	216	14	0	0	0	0	0	82	0	21	0	0	0	0	0	0	19	43	77	0	0	1
assemblage-456-495	0	22	0	0	0	0	0	0	182	18	0	0	0	0	0	102	0	4	0	0	0	0	0	0	0	53	110	0	0	9
assemblage-581-468	0	5	0	0	0	0	0	0	222	40	0	0	0	0	0	38	0	0	0	0	0	0	26	0	0	48	114	0	0	7
assemblage-634-403	0	17	0	0	0	0	0	0	214	16	0	0	0	0	0	94	0	18	0	0	0	0	0	0	0	38	96	0	0	7
assemblage-634-715	0	0	0	0	0	0	0	0	201	45	0	0	0	0	0	35	0	0	0	0	0	0	65	0	0	103	39	0	0	12
assemblage-431-606	0	16	0	0	0	0	0	0	184	32	0	0	0	0	0	93	0	18	0	0	0	0	0	0	20	46	90	0	0	1
assemblage-555-518	0	13	0	9	0	0	0	0	133	9	0	0	0	0	0	140	0	20	0	0	0	0	0	0	37	23	106	0	0	10
