Assemblage_Name	0-3-5960757	1-5670622-2	4267247-2-2	9331227-1489243-702450	0-3-1914634	1-4-1034851	4-6560864-3	1084405-1-9410831	4-9332730-3	9326259-1-9410831	668899-0-1	4083542-6678262-4	0-4895173-8246569	0-1-9410831	4-1-3	0-8364436-4	6746964-3-4	9331227-0-389080	4083542-331682-4	9331227-1489243-3911688	4083542-3-4	0-1-2	7191688-3-4	0-1-6737455	4083542-7220265-4	4953351-3-1	887133-3-1	5626659-1-9410831	1-2-7951770	1-2-6888927	0-3-3596329	2594983-1-9410831	4083542-3-6747246	0-2-1	0-3-8246569	2198857-3-5960757	3718048-3-4	1-1731409-2	4083542-9842609-6747246	1-3-1	2012216-3-4	0-1-1236168	4387694-3-4	9331227-0-9548052	2-0-1	4-1-5112150	9331227-0-7771250	0-6144828-1	9331227-0-6713014	2910737-0-9548052	0-3-4	8782577-9443837-3	9331227-1489243-9548052	1-5936326-2	0-5512196-1	4387694-3-854309	4083542-3-6994675	1-2-2	1-2-4	2238867-2-2	1-4-2	1-3-50275	0-1-7415835	2-5080591-1	2-0-7673815	1-9183806-2	0-1825020-9410831	4-9443837-3	1940309-2-1	2-117042-1	1-7517211-2	4-1093652-3	2-0-9548052	4123760-5936326-2
assemblage-387-655	0	0	0	0	0	0	0	0	7	0	0	0	0	32	18	0	0	0	0	0	36	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	61	0	0	0	0	0	0	137	0	60	0	0	0	0	46	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	3
assemblage-565-418	5	0	0	0	0	0	0	0	40	0	0	0	7	36	45	6	0	0	0	0	0	16	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	10	0	0	0	0	0	130	0	6	10	0	0	0	36	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-441-399	9	0	0	0	0	0	0	0	35	0	0	0	2	33	48	7	0	0	0	0	0	12	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	29	0	0	0	0	0	130	0	8	9	0	0	0	44	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-659-658	5	0	0	0	5	18	0	0	30	0	0	0	28	75	31	3	0	0	0	0	10	0	0	0	0	0	57	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	35	0	0	0	0	0	0	117	0	16	19	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-328-461	0	0	0	0	0	0	0	0	28	0	0	0	0	13	71	13	0	0	0	0	0	10	0	0	0	0	20	0	0	0	0	0	0	16	31	0	0	0	0	0	0	0	0	94	32	0	0	0	0	0	94	0	0	13	21	0	0	30	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-405-561	0	0	8	0	0	0	0	0	0	0	0	0	0	49	44	0	0	0	0	0	0	22	0	7	0	0	0	0	12	0	0	0	0	14	0	0	0	0	0	9	0	0	0	24	79	0	0	0	0	0	23	0	0	16	0	0	0	132	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-392-423	20	0	0	0	0	0	0	0	43	0	0	0	6	29	25	17	0	0	0	0	0	9	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	7	0	0	0	0	0	150	0	0	10	0	0	0	50	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-662-436	0	0	0	0	0	0	0	0	8	0	0	0	0	45	50	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	5	0	0	0	0	0	12	0	0	0	21	93	0	0	12	0	0	113	0	0	9	0	0	0	71	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-342-496	0	0	0	0	0	0	0	0	11	0	0	0	0	21	11	0	0	0	0	0	63	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	67	0	0	0	0	0	0	143	0	49	0	0	0	13	42	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	12
assemblage-496-480	0	0	0	0	0	0	0	0	12	0	0	0	0	35	38	3	0	0	0	0	0	16	0	0	0	0	8	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	42	95	0	0	0	0	0	93	0	0	14	28	0	0	58	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-577-441	0	0	0	0	0	0	0	0	10	0	0	0	9	34	13	0	0	0	0	0	10	0	0	0	0	0	41	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	210	0	36	0	0	0	0	19	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	23
assemblage-425-523	0	0	0	0	0	0	0	0	13	0	0	0	8	40	20	0	0	0	0	0	18	0	0	0	0	0	31	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	47	0	0	0	0	0	0	207	0	41	6	0	0	0	18	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	2
assemblage-473-507	0	0	0	0	0	0	0	0	28	0	0	0	0	29	32	0	0	0	0	0	0	18	0	0	0	0	7	0	0	6	0	0	0	25	0	0	0	0	0	0	0	0	0	40	87	0	0	0	0	0	92	0	0	21	15	0	0	37	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-448-485	16	0	0	0	9	0	0	0	51	0	0	0	9	41	27	9	0	0	0	0	0	11	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	7	0	0	0	0	0	157	0	0	16	0	0	0	38	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-566-327	0	0	0	0	0	0	0	0	0	0	0	0	0	38	47	0	0	0	0	0	0	33	0	17	0	0	0	0	19	0	0	0	0	10	0	0	0	0	0	8	0	0	0	29	65	0	0	0	0	0	33	0	0	13	0	0	0	118	7	0	32	0	0	0	0	11	0	0	0	0	0	0	0	20
