Assemblage_Name	1-1615357-2	1-2-2195845	5375682-3-1	1-8681830-2	1-3419821-2	1-2355576-4791274	0-0-2331115	1-228925-1	1-7415391-1736334	1-1541717-1	1-7321878-2195845	0-8743518-2	1-7500796-1	1-1931318-2	2-6251191-0	1-5925142-1	719217-1-3	1-2-6362090	0-0-1459936	5340590-2-2	1-4136685-1	5246093-2-1736334	1-1517698-1	5506224-2-1736334	1-2-4317782	1-792831-2	1143033-0-0	1-2-5853622	1-2-4791274	7016068-3-1	1-4357345-2195845	1-2-3946745	1-2-1736334	0-0-2	1-3-1	1-5152289-1736334	1-4548491-1736334	1-475344-2	1-6591642-1736334	1-2-2320894	1-2-6486536	1-2-2428004	2-0-0	1-4284144-2	1-4090196-1736334	0-8311383-2	1-196179-2	1626684-2-2195845	1-2-4376344	1-466423-1736334	1-2-4900993	1-2-2	1-2-1330807	1-2-2595266	8945950-0-2331115	1-8167873-1	3726503-2-2195845	1-2-5935376	1-111670-1	0-3657366-2	1-8562573-1
assemblage-901-168	0	237	0	0	16	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	100	0	0	0	0	0	0	0	60	0	0	0	0	9	0	0	0	46	0	0	0	0	0	0	0	0	7
assemblage-432-143	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	11	221	0	0	0	0	0	0	0	46	0	0	0	0	23	0	0	0	29	0	0	0	0	0	0	0	0	5
assemblage-677-600	0	257	0	0	19	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	93	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	7
assemblage-406-405	0	133	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	41	0	21	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	8
assemblage-588-284	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	158	0	106	0	0	0	31	6	9	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	5
assemblage-224-414	0	258	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	26	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	12
assemblage-788-470	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	29	0	0	0	214	0	63	0	0	0	0	67	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-431-760	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	24
assemblage-802-759	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	56	0	0	0	183	0	79	0	0	0	0	80	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-278-731	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	291	0	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	3
