Assemblage_Name	5242608-2-346685	2-1-9914705	3-5607433-4	3-6342272-4	6983051-2-346685	2-1-5160409	0-2-2770139	6604848-3165350-1	7269-1718058-1	6604848-6080446-1	3-3-4	2835720-2-346685	0-1-1	2-1-8794662	0-7391099-2770139	5242608-2-6883972	6170694-3-4	3-3-388457	2-1-3500705	2-1-3487443	1-2-6718487	3-7285535-4	4735743-3-4	3-3-3443982	3-3-5003517	9432057-7265421-8182022	1-2-6732340	4370446-3-4	0-1-8182022	6604848-3424657-1	1-2-5617961	3-7176568-4	3-3-7781225	3-2406573-4	1-2-346685	5112112-3-4	0-2-4611568	1-9390403-1	4957285-1718058-1	0-7265421-8182022	6604848-2-1	0-8125618-2770139	1-2-1	5766547-2-346685	6983051-2-6909652	5242608-2-2860019	2-1-1	6783213-1-1	1-8436335-346685	3146702-2-346685	6604848-2-7509566	1813519-3-4	7440407-3-4	3-3-8499276	3463917-3-4	3-3-8360729	1-1718058-1	411622-3-4	4148418-2-1	8767615-1-3333364	6738066-1-1
assemblage-262-886	0	0	0	0	0	0	15	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	36	0	14	0	0	0	188	0	0	0	0	0	0	0	0	0	95	0	0	0	6
assemblage-430-192	0	0	0	0	12	0	138	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	54	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	10	0	0	0	6
assemblage-825-957	0	30	0	0	0	0	42	0	0	0	61	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	83	0	0	0	0	0	0	0	0	0	48	0	0	0	10
assemblage-363-861	34	0	0	0	96	0	59	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	4	22	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-162-502	22	0	0	0	115	0	80	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	7	15	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-794-401	101	0	0	0	44	0	0	0	0	0	64	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	9	10	95	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-111-935	0	14	0	6	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-435-763	35	0	0	0	65	0	99	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	52	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	39	0	0	0	15
assemblage-413-864	0	0	0	0	0	0	46	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	7	0	40	0	75	0	0	0	146	0	0	0	0	0	0	0	0	0	46	0	0	0	8
assemblage-599-278	24	0	0	0	113	0	51	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	8	19	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
