Assemblage_Name	2456566-5955090-1	0-2199178-8421961	7526818-2-0	8181842-1706024-5824497	4-2-620176	5064280-1498226-3	0-1286165-8421961	4-403061-0	0-0-9919751	1342691-1498226-3	8181842-1706024-2	9038449-0-1	4-2-552761	1359894-2-9933979	4-7253679-0	4-2-5375577	8181842-0-7297976	0-1-0	8181842-0-2	786923-0-2	5578377-0-2	4648033-0-1	1682838-2-9933979	4533354-0-1	8181842-0-1001118	8181842-2670002-2	2175350-2-0	0-0-1	3-1498226-3	4-2-7968712	8181842-9292811-2	110398-0-2	8181842-1634516-2	4483312-2-0	8181842-6606993-2	8181842-66355-2	8815130-2-9933979	0-0-7698699	4652388-0-1	8181842-972582-2	2698608-0-2	3-7829763-3	7034503-2-0	3857638-972582-2	4-2-0	8181842-0-2304639	4-8384817-0	8181842-0-4826992	8181842-6884333-2	5382265-2-0	4-2-9933979	9186909-2-0	6213936-0-2	2456566-5547716-1	8181842-0-2003347	2456566-5286380-1	4-2-6073974	2456566-0-1	2670613-0-2	8181842-0-7950703	0-6235857-1	2771501-2-0
assemblage-169-400	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	17	0	67	0	0	0	0	0	0	0	0	60	0	1	0	0	0	0	0	0	0	0	0	0	0	78	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	6
assemblage-991-720	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	38	0	0	0	0	0	12	0	0	0	0	0	41	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7
assemblage-212-405	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	18	0	0	242	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	10	34	0	132	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	10
assemblage-430-681	0	68	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	124	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	4
assemblage-849-805	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	62	9	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	8
assemblage-530-672	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	17	104	0	0	0	0	0	0	0	0	202	6	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	8
assemblage-533-383	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	17	105	0	0	0	0	0	0	0	0	196	7	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	7
assemblage-506-671	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	13	166	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	14
assemblage-355-837	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	37	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-443-762	0	17	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	46	0	0	0	0	0	8	0	0	0	0	0	31	0	0	0	7	216	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	8
assemblage-490-502	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	12
assemblage-421-662	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	14	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
