Assemblage_Name	3612469-4-0	1-9917792-3	4-7121248-4130772	1-2-1862753	3383144-7121248-3624132	4354244-2-3	1586621-2-3	4-7121248-3624132	1-2-7063353	7125916-7121248-3624132	4-7121248-4634235	4929451-7121248-3624132	7587474-9447352-3	4804733-2-3	3-1-4	9527511-7121248-3624132	1-2-8246538	1-4716228-3	1-6920418-3	4386512-2-3	1-3277181-1862753	1-2184538-1862753	1-1683227-3	4-1-3624132	1-1857450-3	5947481-2-3	1-2754858-1862753	4-7121248-7926316	1-6055490-3	4-7648477-3624132	9880719-8457693-4	1-2-1172892	1-8457693-4	1-2-3	1-2-4	1-9447352-3	4-7121248-8925099	1-4-4	3904273-2-3	4-1411017-3624132	4-9142428-3624132	1-5184650-1862753	4-7121248-2305452	4-7121248-3493997	4-3976132-3624132	3209685-2-3	4820574-1-3624132	4-6904276-3624132
assemblage-754-613	0	0	0	112	0	0	0	266	0	0	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-254-885	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	10	0	0	0	41	266	0	19	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-271-278	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	18	0	0	0	262	0	0	8	0	0	0	0	0	0	13
assemblage-748-637	0	0	0	144	0	0	0	248	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-122-945	0	0	0	0	0	0	0	226	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	8	45	0	0	105	0	0	0	0	0	0	7
assemblage-424-664	0	0	0	67	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-923-806	0	0	0	156	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-795-100	0	0	0	87	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-796-465	0	0	0	16	12	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-825-948	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	383	0	0	0	11	0	0	0	0	0	0	0	0	0	12
