Assemblage 	OriginTime	Duration
assemblage-486-512	10200	900
assemblage-571-570	11100	900
assemblage-473-589	11100	900
assemblage-593-334	7500	900
assemblage-582-490	4800	900
assemblage-436-432	3900	900
assemblage-571-480	9300	900
assemblage-433-512	5700	900
assemblage-459-495	10200	900
assemblage-779-734	4800	900
assemblage-539-252	4800	900
assemblage-630-718	8400	900
assemblage-425-380	3900	900
assemblage-488-519	5700	900
assemblage-418-424	5700	900
assemblage-779-542	9300	900
assemblage-527-566	4800	900
assemblage-530-425	6600	900
assemblage-619-790	8400	900
assemblage-407-654	7500	900
assemblage-576-481	8400	900
assemblage-536-491	6600	900
assemblage-564-510	3900	900
assemblage-611-523	10200	900
assemblage-373-631	7500	900
assemblage-470-433	8400	900
assemblage-664-563	9300	900
assemblage-448-250	3900	900
assemblage-581-500	3000	900
assemblage-591-544	11100	900
assemblage-535-477	10200	900
assemblage-579-537	6600	900
assemblage-419-619	4800	900
assemblage-664-814	8400	900
assemblage-549-707	3000	900
assemblage-630-432	5700	900
assemblage-580-466	6600	900
assemblage-454-418	4800	900
assemblage-463-453	7500	900
assemblage-722-650	7500	900
assemblage-657-503	11100	900
assemblage-569-331	5700	900
assemblage-484-442	3900	900
assemblage-478-546	5700	900
assemblage-344-439	7500	900
