Assemblage_Name	2-8682202-5845182	9096289-4-0	2-4-8707812	2-4-44565	2-4638367-5845182	8474982-7057101-3	6263198-7057101-3	2-4-8844615	2-9397540-5845182	5647129-0-2	6759333-0-2	4-3-4323348	2-531440-0	3129457-531440-0	4-3235846-3	2-4-183273	2-6402706-0	9669638-4-0	1-3-5522894	2-4-4865915	0-2-2	0-2-4	2-5425343-0	4-0-4219753	4-9596784-3	3806857-3-3	3806857-2531605-3	4-0-2	6692734-4-0	2-4-5845182	6007263-0-2	1-3-2	2-4-4759318	4-7057101-7880450	2-531440-8523139	2-4-0	1-3-2529431	4-7057101-6734170	5123231-4-0	2-3202530-0	7145755-0-2	2-551412-0	2-8486574-0	1847468-4-0	9476439-4-0	3806857-3-1838035	8960740-3-3	2-4-2969536	2-1435727-0	4-3-3	4-7057101-3	4-6383479-3	2-531440-9897555	2-4-8433573	1-3-6923708	8591906-0-2
assemblage-237-258	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	30	0	22	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	259	0	0	0	0	12
assemblage-687-249	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	7	0	17	0	41	0	207	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-642-861	0	0	0	0	0	0	0	0	0	0	6	0	22	0	0	0	9	0	0	0	0	0	0	0	0	29	0	29	0	113	0	0	0	0	0	215	5	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-246-246	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	26	0	17	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	258	0	0	0	0	13
assemblage-759-877	0	0	0	0	0	72	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	34	40	0	6	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	9	169	0	0	0	0	8
assemblage-759-874	0	0	0	0	0	52	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	30	60	0	6	0	0	0	4	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	6
assemblage-923-236	0	0	0	0	0	0	0	0	0	0	24	0	18	0	0	0	63	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	261	0	0	0	0	22	0	0	0	0	0	0	0	0	0	19	0	0	0	0	20
assemblage-280-565	0	0	0	9	0	0	0	0	0	0	0	0	78	8	0	0	23	0	0	0	0	0	0	0	0	49	0	15	0	36	0	0	0	0	0	228	9	0	0	0	0	21	0	0	0	4	0	0	0	0	3	0	0	0	0	17
assemblage-628-854	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	10	0	0	0	0	0	0	0	0	27	0	35	0	95	0	0	0	0	0	236	2	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-710-473	3	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	29	0	45	0	237	0	0	4	0	0	109	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	27
