Assemblage_Name	4190785-3-3	4-6128896-1	7046310-6128896-1	1-2-8014973	3-3-0	3732756-3-3	1-2-1070760	4-1623457-9463376	8092783-2-2	5099164-3-3	2-2-2	3-3-9975612	5099164-3-4585574	6644800-2-4	1-3200419-4	5099164-6027271-3	9120205-358908-2	2-358908-2	5462354-3-3	3-3-5088491	2-6089979-2	5099164-3-2804441	469667-3-3	779463-2-2	2-124689-2	5992486-358908-2	4-6128896-6760771	4-8496054-1	1-7261277-8014973	1-2-4	798089-6128896-9463376	4-3-3	4-6128896-9463376	2-9000280-2
assemblage-687-249	0	0	0	15	94	0	0	0	0	300	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-642-861	0	0	0	37	102	7	0	0	0	203	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	99	0	13	7
assemblage-246-246	0	0	0	0	60	0	10	0	0	203	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	137	0	2
assemblage-759-877	0	0	0	0	89	0	0	0	0	72	82	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	56	0	16	4	1
assemblage-759-874	0	0	0	0	84	0	0	0	0	85	78	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	48	0	13	7	3
assemblage-923-236	0	0	0	101	32	0	0	0	0	75	43	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	12	136	0	7	3
assemblage-280-565	0	0	0	75	69	0	0	0	0	205	13	0	0	0	0	18	0	28	0	0	0	0	0	0	0	0	0	0	0	8	69	0	8	7
assemblage-628-854	0	0	0	34	104	10	0	0	0	192	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	96	0	32	8
assemblage-710-473	0	0	0	14	65	0	0	0	0	344	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	7
assemblage-277-528	0	0	0	97	81	0	0	0	0	182	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	30	88	0	0	9
assemblage-328-328	2	0	0	16	79	0	0	0	0	275	0	0	0	0	0	0	0	69	0	0	0	0	0	0	3	0	0	0	33	0	15	0	0	8
assemblage-630-846	0	0	0	116	74	0	0	0	0	169	10	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	24	87	0	0	6
assemblage-190-596	0	0	0	20	86	0	0	0	0	330	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	12
assemblage-359-271	0	0	0	0	81	0	0	0	0	101	72	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	52	0	6	5	5
assemblage-985-351	0	0	0	6	100	0	0	0	0	232	0	0	0	0	0	4	0	38	0	0	0	0	0	0	0	0	0	0	0	0	92	0	21	7
assemblage-597-671	0	0	0	7	69	0	0	0	0	68	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	29	35	0	25	9
assemblage-460-153	0	0	0	8	88	0	0	0	0	49	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	22	45	0	36	9
assemblage-684-472	0	0	0	0	88	0	0	0	0	355	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-689-477	0	0	0	9	67	0	0	0	0	376	0	0	0	0	0	0	0	29	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	11
assemblage-308-566	0	0	0	67	33	0	0	0	0	345	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	4
assemblage-471-340	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	20	0	5
assemblage-922-687	0	0	0	114	24	0	0	0	0	91	50	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	9	124	0	0	2
