Assemblage_Name	4719486-2-4	1687261-0-1002990	1-0-0	4516298-6332063-0	4-2-2396106	4-2-2241289	4099312-0-1002990	6984742-0-1002990	3-4-4	4875057-2-4	3312714-0-0	6866445-4-4	8771985-0-1002990	3-4-8471988	1-0-806143	1-5944926-0	0-1-2052427	4516298-4-0	7961240-4-0	0-6559865-6409054	1-0-7474530	4516298-4-152506	1-0-9139664	1-916113-1002990	1-5491576-0	0-1-6409054	4-2-4	0-1-5751737	4246693-4-0	1-0-8097017	1-0-1002990	4516298-6119732-0	765562-2-4	4516298-3826494-0	4516298-4-5345766	8771985-0-301016	0-1-4474401	1-8968032-0	3271942-0-1002990
assemblage-168-953	0	0	88	0	0	0	0	0	0	0	0	0	78	0	0	0	0	35	0	0	0	0	0	0	0	128	136	0	0	0	25	0	0	0	0	0	0	6	4
assemblage-990-345	0	0	161	0	0	0	0	0	0	0	0	0	69	0	0	0	0	172	0	0	0	0	0	0	0	0	22	0	0	0	64	0	0	0	0	0	0	0	12
assemblage-549-750	33	0	113	40	0	6	0	0	18	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	108	6	0	0	0	111	0	0	0	0	0	0	0	8
assemblage-480-335	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	77	0	0	0	0	144	0	0	0	0	0	0	0	3
assemblage-535-559	0	0	0	0	0	0	0	8	0	0	0	0	177	0	0	0	0	81	0	0	0	0	0	0	0	32	180	0	0	0	12	0	0	0	0	0	0	0	10
assemblage-183-166	0	0	132	0	0	0	0	0	61	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	67	26	0	0	0	119	0	0	0	0	0	0	0	0
assemblage-176-599	0	0	140	0	0	0	0	0	0	0	0	0	93	0	0	0	0	107	0	0	0	0	0	0	0	28	119	0	0	0	9	0	0	0	0	0	0	0	4
assemblage-924-289	9	0	192	0	0	0	0	0	0	0	0	0	29	0	0	0	0	46	0	0	0	0	0	0	0	38	29	0	0	0	149	0	0	0	0	0	0	0	8
assemblage-235-847	0	0	59	0	0	0	0	0	51	0	0	0	0	0	0	0	0	123	9	0	0	0	0	0	0	94	79	0	0	0	80	0	0	0	0	0	0	0	5
assemblage-298-582	0	0	145	0	0	0	0	0	0	0	0	0	56	0	0	0	0	148	0	0	0	0	11	0	0	38	25	0	0	0	75	0	0	0	0	0	0	0	2
assemblage-172-188	0	0	79	0	0	0	0	0	141	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	131	46	0	0	0	29	0	0	0	0	0	0	0	0
assemblage-299-556	14	0	197	0	0	0	0	0	0	0	0	0	34	0	0	0	0	40	0	0	0	0	0	0	0	44	23	0	0	0	144	0	0	0	0	0	0	0	4
assemblage-809-471	39	0	26	21	0	0	0	0	0	0	0	0	28	0	0	0	0	6	0	0	0	0	0	0	0	58	109	0	0	0	209	0	0	0	0	0	0	0	4
assemblage-183-592	0	0	166	0	0	0	0	0	0	0	0	0	101	0	0	0	0	17	0	0	0	0	0	0	0	77	104	0	0	0	33	0	0	0	0	0	0	0	2
assemblage-870-401	34	0	45	13	0	0	0	0	39	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	22	127	0	0	0	73	0	0	0	0	0	0	0	1
assemblage-299-553	0	0	120	0	0	0	0	0	0	0	0	0	73	0	0	0	0	126	0	0	0	0	9	0	0	62	19	0	0	0	89	0	0	0	0	0	0	0	2
