Assemblage_Name	73806-6906063-2	1-1-0	2-3-0	6225637-0-2	0-1467663-4	649957-0-804660	2-0-2434153	2-7797935-804660	1-1-7840896	3834365-2-2	7613751-0-2	1-792687-0	7224956-1-0	2-1235153-2	2-0-804660	0-3531756-4	4-8599001-2	2-0-7398713	73806-0-2	1-1-8001160	1-2804459-0	2-0-2	1042246-0-804660	4-2-2	2-7674167-804660	0-3-4	0-4012959-4	2-0-5877470	2-0-8131438	2-3952057-804660	2-3465788-2	8753117-2-2	1132286-3-4	2-1732063-2	8753117-989169-2	4539821-6906063-2
assemblage-672-407	0	54	27	0	0	0	0	0	0	0	0	0	0	21	49	0	0	0	182	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-928-1006	0	105	91	0	0	0	0	0	0	0	0	0	0	0	20	0	13	0	0	0	0	104	0	40	0	0	36	0	14	0	0	47	26	0	0	4
assemblage-250-872	0	35	78	0	0	0	0	0	0	0	0	0	0	0	135	0	9	0	0	0	0	140	0	17	0	8	0	0	0	0	0	0	66	0	0	12
assemblage-510-572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-673-388	0	29	23	0	0	0	0	0	0	0	0	0	0	16	59	0	0	0	219	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-288-575	0	33	94	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	136	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-356-329	0	32	68	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	180	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-935-1004	0	140	70	0	0	0	0	0	0	0	0	0	0	0	18	0	6	0	0	0	0	121	0	32	0	0	32	0	13	0	0	48	16	0	0	4
assemblage-988-336	11	137	16	0	0	0	0	0	0	0	0	2	0	0	222	0	0	0	101	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-344-220	0	176	149	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	16	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-352-266	0	78	86	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	28	0	161	0	15	0	0	0	0	0	115	0	0	0	6
assemblage-261-343	0	68	152	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-793-991	0	219	99	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	16	0	0	8
assemblage-689-249	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-923-976	0	129	67	0	0	0	0	0	0	0	0	0	0	0	22	0	8	0	0	0	0	104	0	46	0	0	26	0	20	0	0	55	21	0	0	2
assemblage-178-167	0	84	87	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	32	0	175	0	25	0	0	0	0	0	80	0	0	0	9
assemblage-562-744	0	140	180	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	75	0	0	5
assemblage-263-346	0	77	124	0	0	0	4	0	0	0	0	0	0	0	154	0	0	0	17	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-667-407	0	14	49	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	183	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-471-161	0	65	29	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	127	0	0	7
