Assemblage_Name	1593558-3-0	3292217-3-1	3-8150231-0	3-3-9561872	5056896-3-1	9921590-3-1	1-4478383-1	3-3-3071360	1-3-3464020	3826600-1-0	2556203-760097-0	3-3-0	1-5647229-1	4-1-4	794906-1-0	2-1-370805	0-1-0	8426079-1-0	3-760097-0	1-6117556-1	1-3770073-1	6049152-1-6734204	1-2033217-1	0-0-4714178	1-3010852-1	4483996-3-0	1001125-3-1	0-9534669-4	619996-3-0	0-0-4	1270863-3-1	1-3-7587352	1-3-4370097	1063581-3-1	7881043-3-0	1-3-1	9454775-1-4	1-3812738-1	8242817-1-0	2-4-0	1-9534421-1	0-0-8675573	9260922-3-1	1-7883503-1	5317647-3-0	3-5012700-0	3-3-8389135	2-1-0	2-556275-0	1-3-6807610	3-5005702-0	4451047-3-1	0-1-5892551	0-1-6734204	0-1-4956290	3-5424800-0	673031-3-0
assemblage-441-398	0	0	0	0	0	0	0	0	0	0	0	59	0	19	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	97	0	0	4
assemblage-743-627	0	0	0	0	0	0	0	0	0	0	0	64	0	34	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	111	0	0	1
assemblage-519-125	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	11
assemblage-483-768	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	11
assemblage-526-107	0	0	0	19	0	0	0	0	0	0	0	198	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	39	0	0	13
assemblage-211-180	0	0	0	0	0	0	0	0	0	0	7	101	0	0	0	0	0	0	269	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
assemblage-264-360	17	0	0	15	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	6
assemblage-264-339	17	0	0	13	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	3
assemblage-109-340	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	39	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	45	0	12	7
assemblage-675-940	0	0	0	3	0	0	0	0	0	0	0	97	28	0	0	0	0	0	27	0	0	0	0	0	0	0	5	0	7	47	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
