Assemblage_Name	409795-2-3	3-523524-4	7930379-3-4902598	1-0-1	6521645-3-4593887	4-9281390-3	0-5543770-2	0-1-2	7015898-2-3	2217010-2-3	4-2-2925748	7930379-6996568-4	5754964-5543770-2	8023199-2-3	7930379-2402034-4	2-4361069-0	0-8863817-2	5578595-2-3	3-1826266-4	2-0-0	7930379-3-4689381	3-0-4	321323-2-3	1-3593481-1	4-2-3	3-7690314-4	3-338648-4	3-0-6752004	7930379-3-4593887	2-0-5552213	1-2-2	2060359-3-4	1-4-2	2-1-1	7930379-3-4	9895768-3-4	7930379-3-8486971	2-0-5431172	4-2-9556654	3-5891867-4
assemblage-352-687	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	125	0	0	0	42	0	0	0	0	0	52	0	0	0	0	9
assemblage-896-872	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	123	0	0	0	45	0	0	0	0	0	69	0	0	0	0	5
assemblage-818-651	0	0	0	0	0	0	0	123	0	0	0	0	0	0	6	0	0	0	0	170	0	17	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	9
assemblage-817-130	0	0	0	19	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	187	0	23	0	0	39	0	0	0	0	0	0	0	0	0	180	0	0	0	0	12
assemblage-228-644	0	0	0	0	0	0	48	0	0	0	0	0	42	0	0	0	0	3	0	0	0	304	0	0	36	0	0	0	31	0	0	0	0	0	24	0	0	0	0	12
assemblage-262-660	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	11	0	0	0	195	0	0	0	0	0	5	0	0	0	0	6
assemblage-261-342	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	161	0	0	0	134	0	0	0	0	0	0	0	0	0	0	9
assemblage-224-659	0	0	0	0	0	0	50	0	0	0	0	0	37	0	0	0	0	5	0	0	0	327	0	0	31	0	0	0	25	0	0	0	0	0	21	0	0	0	0	4
assemblage-909-972	0	0	0	151	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	176	0	28	0	0	33	0	0	0	0	0	0	14	0	0	88	0	0	0	0	4
assemblage-665-923	6	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	91	0	0	0	191	0	0	0	0	0	0	0	0	0	0	10
assemblage-752-603	0	0	0	11	0	0	10	222	0	0	0	0	0	0	0	0	24	0	0	7	0	79	0	0	31	0	0	0	13	0	0	0	0	0	100	0	0	0	0	3
assemblage-262-104	0	0	0	0	0	0	88	0	39	0	0	0	6	0	0	0	0	0	0	0	0	165	0	0	12	0	0	0	160	0	0	0	0	0	24	0	0	0	0	6
assemblage-858-890	0	0	0	105	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	93	0	19	0	0	63	0	0	0	0	0	0	0	0	0	49	0	0	0	0	8
assemblage-583-465	0	0	0	0	0	0	17	0	40	0	0	0	0	0	0	0	0	0	0	0	12	281	0	0	31	8	0	0	104	0	0	0	0	0	0	0	0	0	0	7
assemblage-258-727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	295	0	41	0	0	103	0	0	0	0	0	37	0	0	0	6	0	0	0	0	4
assemblage-680-942	0	0	0	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	95	0	0	231	0	0	0	60	0	0	0	0	0	64	33	0	0	0	2
assemblage-594-508	0	0	0	50	0	0	0	27	0	0	0	0	0	0	19	0	0	0	0	284	0	0	0	0	54	0	0	0	0	0	0	0	0	0	56	0	0	0	0	10
assemblage-608-915	0	0	0	42	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	19	0	0	0	0	0	0	22	0	0	151	0	0	0	0	6
assemblage-339-716	0	0	0	286	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	57	0	5	0	0	45	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0
assemblage-111-900	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	362	0	0	0	0	0	0	0	0	0	43	0	6	0	0	11
assemblage-608-767	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	11	0	0	0	173	0	0	0	0	0	0	0	0	0	0	14
