Assemblage_Name	2-6183765-3	3-1-4411414	8932667-1-2	4459746-1-3	3785268-1-2	2-1-3	2-1-8708333	2-1-8247714	2-9687264-3	2-8926661-3	3-6226411-4	2-8572631-3	5510473-1-3	2508081-1-3	2-2185816-3	7991151-4-2	2-8114921-3	8785037-1-3	3-1-7890162	3-1-2	3-1-4	1411868-1-3	2-1-7841178	2-1-9182502	2-1543104-3	8322843-1-3	2-6137405-3	5302236-1-3	2-1-4016206	580796-1-2	2-1-1364777	4286564-1-3	6574511-9736504-4	8360297-1-3	2-1266148-3	2-7206789-3	1-4-2	5943145-1-3	2-1-4	6574511-1-4	2-1-9550803	4202352-1-3	2-1-4369226	2-1-924753
assemblage-385-320	0	0	0	6	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	49	0	0	0	0	0	0	0	0	7
assemblage-237-956	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-373-247	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-732-983	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	53	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-933-359	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-110-333	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-101-914	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	37	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-936-352	0	0	0	0	0	299	10	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-463-409	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	85	20	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-472-737	11	0	0	0	0	451	0	0	0	0	0	0	0	0	11	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-474-731	10	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-226-782	0	0	0	9	0	407	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	13
assemblage-104-904	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	29	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-605-286	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
