Assemblage_Name	6290413-1-3	2-1-4906320	3161732-4909081-3	1-1-3	1-3209183-2	2-1-3964141	2-9773636-3	8264813-1-3	2-9535959-3	9768954-1-3	2-3317885-3	2-6548283-3	2-1-6533622	2-1-2566252	2-2749007-3	3-3-4	3161732-1-5802280	2-1-2468600	1-8624112-3	761287-1-3	2-964588-3	2-1-2837728	2-1-9056444	4978560-1-3	2-8319691-2842134	2-3112801-3	3-0-2875948	2-9773636-1207564	1-6966266-3	2-9926987-3	3-4376950-1027248	2-1-3308226	2-9773636-3837878	4868342-9773636-3	2-7878283-3	2-1-4090145	4978560-9273298-3	2-9828770-3	9750768-1-3	3-1294847-1027248	1-1-6657801	3-0-2	203575-1-3	2-1-8021360	2-1-567073	1-1-1824995	4978560-6612540-3	2-5007114-3	1-4-1	4978560-938307-3	7234984-1-3	8620603-1-3	2-1-3	7083692-1-3	3-0-4	2-8319691-3	6148673-1-2	2-1-7850186	6290413-1-742969	8053996-9077459-2	3161732-1-3	8053996-1-2	1-1-6599179	2-1549192-3
assemblage-453-406	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	24	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	8	12	13	0	11
assemblage-739-488	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	36	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	15	18	31	0	4
assemblage-412-860	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	6	0	0	0	0	0	0	102	0	24	17
assemblage-472-664	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	17	0	0	0	58	0	0	0	0	0	15	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	93	0	7
assemblage-348-188	0	0	0	0	0	0	115	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	15
assemblage-932-368	0	0	0	55	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	89	0	0	6
assemblage-235-123	0	99	0	8	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	7
assemblage-209-484	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	68	0	0	13
assemblage-420-841	0	0	0	91	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	12	0	0	10
assemblage-360-710	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	9	168	0	17
assemblage-234-940	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	22	0	0	125	8	0	8
assemblage-827-631	0	0	0	27	31	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	27	0	0	0	107	0	11	0	0	0	0	0	0	216	0	15
assemblage-254-112	0	14	0	58	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	46	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	7
assemblage-214-177	0	9	0	61	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	59	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	9
assemblage-224-778	0	0	0	42	0	0	129	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	26	0	0	13
assemblage-441-398	0	0	0	41	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	19	54	46	0	14
assemblage-743-627	0	0	0	39	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	15	56	46	0	9
assemblage-519-125	0	0	0	140	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	94	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	119	0	0	8
assemblage-483-768	0	0	0	126	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	135	0	0	12
