Assemblage_Name	2881137-6559822-2	3-3453359-0	1-3-1892985	1-3-9874775	1-2-4914436	3-8317227-0	2881137-9097813-2	1-2-109018	1-8381628-4333895	1-3-6029895	9597720-2-4	1-9229081-4	1-404082-1391695	1-1297367-4	3879476-3-4	1-404082-4	1-1297367-4333895	9668005-2-108315	1-3-2091015	1-2-8372530	4-3-4888263	5216729-2-0	850867-2-8500109	1-2-6415750	1-3-2883286	6250280-2-4	4-3-6754189	0-2-2	1-3604282-4	1-1287681-4	1-3925783-4	1-3-4	1-2457013-4	1-5182728-4	1-3-7030052	1-3390951-4	1-5194295-7593712	2881137-3-8660057	9668005-2-4597127	2881137-4023061-2	850867-2-4	1-404082-5641564	1-3-8012765	1-2-4	150551-3-4888263	1-7640458-4	7817750-2-2	39780-3-4	8232422-3-4	9668005-2-4	4393956-3-4	0-3859808-2	2424594-2-4	9668005-2-5115001	4347528-404082-4	1-404082-9676531	4-3-3	1-3-5973779	3-2-0	1475185-2-4	1-5194295-4	9668005-2-6432755	3487435-4023061-2	1-2-8639527	1-3-2658722
assemblage-942-369	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	48	0	0	0	0	0	0	0	0	0	12	99	0	0	0	0	0	0	0	0	21	0	0	113	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-239-945	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	199	0	0	0	0	0	0	0	0	0	10	115	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-831-655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	47	0	0	7	0	0	21	0	0	0	340	0	0	0	0	0	0	0	11	0	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	6
assemblage-894-875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	32	0	0	0	0	0	0	50	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	6	130	0	0	0	5
assemblage-364-249	0	97	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	11	0	0	0	0	0	0	6	0	0	111	0	0	0	0	0	94	24	0	0	0	0	0	0	0	0	0	42	0	0	0	8
assemblage-509-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	20	0	0	0	0	0	0	43	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	8	121	0	0	0	4
assemblage-233-168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	186	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8
assemblage-575-462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	263	0	0	0	0	0	68	0	0	0	0	0	13	0	0	0	0	0	0	0	0	2
assemblage-247-170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	183	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8
assemblage-915-994	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	47	0	0	0	0	0	0	98	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	148	0	29	0	0	0	42	0	0	0	0	0	0	0	0	22	0	0	0	0	0	7
assemblage-903-862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	18	0	0	0	0	0	0	0	0	0	14	98	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	16	127	0	0	0	3
assemblage-243-323	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	5	0	0	0	0	0	0	0	0	238	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	53	0	0	0	3
assemblage-218-797	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-599-513	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	15	0	0	0	0	0	110	0	0	0	42	0	0	0	0	0	0	0	38	0	0	0	192	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-361-291	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	223	0	0	0	0	0	0	0	0	0	6	122	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-722-982	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	9	0	27	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	127	0	3	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-412-850	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	6	0	0	0	0	0	0	251	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	25	0	0	0	5
assemblage-596-281	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	68	0	0	0	0	0	0	3	0	0	6	53	0	0	0	0	0	0	0	0	15	0	0	107	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	5	53	0	0	0	10
assemblage-731-474	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	17	0	24	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	167	0	10	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-601-501	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	22	0	0	0	0	0	137	0	0	0	48	0	0	0	0	0	0	0	55	0	0	0	159	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-421-842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	24	0	0	0	0	0	0	0	0	81	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-249-737	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	81	0	0	34	0	0	36	0	0	0	0	0	0	0	0	43	0	0	0	0	0	8
